SampleID;CFU/ml;log CFU/ml
R146-D;9356.5;3.971
R146-E;640;2.806
R146-F;970;2.987
R147-A;1750;3.243
R147-B;500;2.699
R147-C;500;2.699
R147-D;1130;3.053
R147-E;2230;3.348
R147-F;105000;5.021
R148-A;1470;3.167
R148-B;7126.5;3.853
R148-C;3900;3.591
R148-D;2630;3.420
R148-E;2200;3.342
R148-F;2640;3.422
R149-A;4280.5;3.631
R149-B;3600;3.556
R149-C;4270;3.630
R149-D;10658.5;4.028
R149-E;94000;4.973
R149-F;204000;5.310
R150-A;2920;3.465
R150-B;7734;3.888
R150-C;2700;3.431
R150-D;1520;3.182
R150-E;2170;3.336
R150-F;14000;4.146
R151-A;28727;4.458
R151-B;2090397.5;6.320
R151-C;222000;5.346
R151-D;560024.5;5.748
R151-E;44000;4.643
R151-F;6637;3.822
R152-A;2160;3.334
R152-B;5310.5;3.725
R152-C;32376;4.510
R152-D;63000;4.799
R152-E;2000;3.301
R152-F;3660;3.563
R153-A;630;2.799
R153-B;1650;3.217
R153-C;2510;3.400
R153-D;1030;3.013
R153-E;2060;3.314
R153-F;1660;3.220
R154-A;73000;4.863
R154-B;1280;3.107
R154-C;650;2.813
R154-D;15273.5;4.184
R154-E;16763.5;4.224
R154-F;3720;3.571
R155-A;2200;3.342
R155-B;16680.5;4.222
R155-C;106000;5.025
R155-D;7648;3.884
R155-E;2927018.5;6.466
R155-F;46000;4.663
R156-A;710;2.851
R156-B;3220;3.508
R156-C;270;2.431
R156-D;230;2.362
R156-E;300;2.477
R156-F;560;2.748
R157-A;860;2.934
R157-B;720;2.857
R157-C;360;2.556
R157-D;2140;3.330
R157-E;4410;3.644
R157-F;3380;3.529
R158-A;890;2.949
R158-B;2150;3.332
R158-C;1760;3.246
R158-D;3175466;6.502
R158-E;68000;4.833
R158-F;26000;4.415
R159-A;730;2.863
R159-B;962;2.983
R159-C;2010;3.303
R159-D;1960;3.292
R159-E;2450;3.389
R160-A;284000;5.453
R160-B;1440;3.158
R160-C;1420;3.152
R160-D;800;2.903
R160-E;1900;3.279
R160-F;3170;3.501
R161-A;1140;3.057
R161-B;970;2.987
R161-C;1170;3.068
R161-D;1160;3.064
R161-E;710;2.851
R161-F;87000;4.940
R162-A;2570;3.410
R162-B;7400;3.869
R162-C;7282.5;3.862
R162-D;2730;3.436
R162-E;55000;4.740
R162-F;21523.5;4.333
R163-A;1900;3.279
R163-B;1140;3.057
R163-C;3410;3.533
R163-D;1380;3.140
R163-E;2880;3.459
R163-F;2340;3.369
R164-A;480;2.681
R164-B;340;2.531
R164-C;1390;3.143
R164-D;37189.5;4.570
R164-E;3500;3.544
R164-F;28000;4.447
R165-A;770;2.886
R165-B;790;2.898
R165-C;22185.5;4.346
R165-D;880;2.944
R165-E;2810;3.449
R165-F;4080;3.611
R166-A;910;2.959
R166-B;4552.5;3.658
R166-C;33928.5;4.531
R166-D;12302.5;4.090
R166-E;10000;4.000
R166-F;86000;4.934
R167-A;350;2.544
R167-B;2260;3.354
R167-C;570;2.756
R167-D;930;2.968
R167-E;2240;3.350
R168-A;2530;3.403
R168-B;2440;3.387
R168-C;3140;3.497
R168-D;3050;3.484
R168-E;2690;3.430
R169-A;26000;4.415
R169-B;15687;4.196
R169-C;2350;3.371
R169-D;6172.5;3.790
R169-E;2900;3.462
R170-A;1580;3.199
R170-B;2320;3.365
R170-C;2990;3.476
R170-D;5273.5;3.722
R170-E;12481;4.096
R171-A;2060;3.314
R171-B;3680;3.566
R171-C;3530;3.548
R171-D;7177;3.856
R171-E;15356;4.186
R171-F;22000;4.342
R172-A;3060;3.486
R172-B;1620;3.210
R172-C;550;2.740
R172-D;970;2.987
R172-E;5817;3.765
R173-A;1540;3.188
R173-B;580;2.763
R173-C;2560;3.408
R173-D;590;2.771
R173-E;570;2.756
R174-A;470;2.672
R174-B;670;2.826
R175-A;1500;3.176
R175-B;1430;3.155
R175-C;10707.5;4.030
R175-D;7055;3.848
R175-E;9430.5;3.975
R175-F;51000;4.708
R176-A;10780.94287;4.033
R176-B;4391.5;3.643
R176-C;1860;3.270
R176-D;2250;3.352
R176-E;316000;5.500
R176-F;2540;3.405
R177-A;1400;3.146
R177-B;260;2.415
R177-C;780;2.892
R177-D;310;2.491
